""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
1,3.951661285536978,0.09064,0.1524
2,3.286279542366867,0.19564,0.2261
3,2.778460559332767,0.2907,0.33
4,2.3220225752467085,0.38268,0.3671
5,2.0061747613160508,0.45228,0.4388
6,1.8138479912067618,0.49818,0.4782
7,1.666948258724359,0.53346,0.5
8,1.568184560217211,0.556,0.4997
9,1.4877729976878447,0.57952,0.5388
10,1.4309995296361195,0.59224,0.5339
11,1.3812567026109037,0.60506,0.5414
12,1.334526962636377,0.61666,0.51
13,1.3021408665515577,0.62614,0.5573
14,1.2684795858000246,0.63284,0.5123
15,1.2366201203802358,0.64376,0.5663
16,1.2170452730125174,0.64624,0.5719
17,1.1956840465440775,0.65182,0.5345
18,1.168016978999233,0.65866,0.5623
19,1.1606503161018158,0.66242,0.5509
20,1.143629566330434,0.6693,0.5463
21,0.7090593471246607,0.79038,0.712
22,0.5592407588001407,0.83386,0.7144
23,0.4946142422878529,0.85044,0.7139
24,0.45060506402074224,0.8641,0.7159
25,0.4068915966297964,0.87624,0.7098
26,0.3820211313036092,0.88168,0.7094
27,0.3599720453972097,0.8914,0.7065
28,0.3408444287908047,0.89522,0.7052
29,0.3292354488997813,0.89972,0.6987
30,0.3213860678398396,0.90014,0.701
31,0.32132420721261395,0.90048,0.687
32,0.32058692195683797,0.90236,0.6834
33,0.30571514813948775,0.9069,0.6907
34,0.30228258825628956,0.90702,0.6902
35,0.3085883758638216,0.90376,0.671
36,0.29324662220447567,0.9106,0.6831
37,0.2988024610845024,0.90826,0.6918
38,0.29168424551444283,0.91004,0.6623
39,0.28917497365980804,0.91082,0.6848
40,0.2864523587553093,0.91252,0.6725
41,0.12806473746705238,0.96734,0.7373
42,0.07645892198471461,0.98414,0.7385
43,0.06108679056948865,0.9893,0.7423
44,0.053374495747906474,0.99132,0.7409
45,0.04611679275646387,0.99312,0.7465
46,0.0422928197895322,0.99426,0.7451
47,0.03893596673732066,0.995,0.7468
48,0.03584503270018741,0.99536,0.7463
49,0.03352623551731448,0.99618,0.7465
50,0.030907093566339798,0.99676,0.7484
