""
epoch,train_loss,train_acc,test_acc
1,3.987193781396617,0.08618,0.1434
2,3.388059236814299,0.1728,0.2227
3,2.971314340601187,0.25028,0.2177
4,2.6667176000297528,0.30934,0.3152
5,2.4268993752081984,0.36112,0.3964
6,2.2538310039378797,0.3985,0.3954
7,2.118984399549187,0.4315,0.4594
8,2.020593586480221,0.45234,0.4548
9,1.9344327099183027,0.47188,0.4337
10,1.8570263266868299,0.49012,0.514
11,1.8047827326733132,0.50304,0.505
12,1.7585158384669468,0.51266,0.5114
13,1.705137784218849,0.52538,0.5122
14,1.675628179784321,0.53512,0.5371
15,1.6446051176856546,0.54558,0.5017
16,1.617177010802052,0.54762,0.5174
17,1.594708807328168,0.5524,0.5541
18,1.5713556889073013,0.55984,0.5612
19,1.5627460476687498,0.56532,0.5465
20,1.542365606483596,0.5668,0.5594
21,1.1219029147606676,0.6787,0.692
22,0.9895157315542021,0.71132,0.6993
23,0.9367977072820639,0.72604,0.6966
24,0.9089297402240432,0.73248,0.6902
25,0.8803981766676354,0.73944,0.7014
26,0.8635004056079308,0.7428,0.6962
27,0.8368670481550115,0.74988,0.6919
28,0.8256467157007789,0.7529,0.6957
29,0.8167129276353685,0.75636,0.6823
30,0.8066369192984403,0.75694,0.69
31,0.7868440963728044,0.76502,0.6793
32,0.7901535095156306,0.76208,0.6895
33,0.7833762123151813,0.76472,0.6874
34,0.7633186773113583,0.76988,0.6817
35,0.7612210104380117,0.77102,0.6819
36,0.7506943419004035,0.7742,0.6894
37,0.7451140010143484,0.77624,0.6837
38,0.7341436326046429,0.77978,0.6867
39,0.7297441143818828,0.77932,0.691
40,0.7147909222204057,0.7843,0.6765
41,0.4880883682261952,0.8565,0.742
42,0.4053016615950543,0.88332,0.7528
43,0.372368606955499,0.89292,0.7504
44,0.3447074473590192,0.90122,0.7559
45,0.32862346651761426,0.90522,0.7572
46,0.3114792101294793,0.90984,0.7531
47,0.30308080546538846,0.91368,0.7549
48,0.28508444420059625,0.91938,0.7519
49,0.2751514900218495,0.92268,0.7542
50,0.26779631660569964,0.92494,0.7499
